Cue,Answer,Shuffle,Stimuli Notes,Value
DELINQUENT,BAD,Study1,F,6
DIGESTION,STOMACH,Study1,F,7
WAGE,MONEY,Study1,F,8
CHISEL,HAMMER,Study1,F,9
EDITOR,NEWS,Study1,F,10
HORNET,STING,Study1,F,11
BITTER,COLD,Study1,F,12
ROOT,PLANT,Study1,F,13
SWAN,BIRD,Study1,F,14
PAW,DOG,Study1,F,15
WAY,OUT,Study1,F,16
HYGIENE,CLEAN,Study1,F,17
BRIDGE,WATER,Study1,F,18
GEOLOGY,ROCK,Study1,F,19
REVOLUTION,WAR,Study1,F,20
DISCUSSION,TALK,Study1,F,21
HERD,COW,Study1,F,22
CREDIT,CARD,Study1,F,23
ORCHID,FLOWER,Study1,F,24
TUNA,FISH,Study1,F,25
FULL,ENOUGH,Study1,B,26
DRINK,SIP,Study1,B,27
DARK,CAVE,Study1,B,28
TAKE,SEIZE,Study1,B,29
HEIGHT,GROWTH,Study1,B,30
SENTENCE,WORD,Study1,B,31
BUG,WASP,Study1,B,32
MATH,DIVISION,Study1,B,33
LAW,ATTORNEY,Study1,B,34
GREAT,FANTASTIC,Study1,B,35
KEY,LATCH,Study1,B,36
HOT,CHILI,Study1,B,37
BALL,RACKET,Study1,B,38
WORK,CHORE,Study1,B,39
HUNGER,FAMINE,Study1,B,40
SLEEP,DROWSY,Study1,B,41
SMELL,STENCH,Study1,B,42
CLOTHES,ATTIRE,Study1,B,43
PLANE,PILOT,Study1,B,44
FIRE,BLAZE,Study1,B,45
DUE,ASSIGNMENT,Study1,S,46
NUMBER,AMOUNT,Study1,S,47
LOCATION,SITE,Study1,S,48
DUMP,WASTE,Study1,S,49
TRIAL,JURY,Study1,S,50
ARCHITECTURE,DESIGN,Study1,S,51
GRILL,BAR,Study1,S,52
KIDNEY,LIVER,Study1,S,53
BEGIN,END,Study1,S,54
BLOW,WIND,Study1,S,55
POP,SODA,Study1,S,56
WINE,CHEESE,Study1,S,57
BATHROOM,TOILET,Study1,S,58
LETTUCE,SALAD,Study1,S,59
SHOE,FOOT,Study1,S,60
PAST,FUTURE,Study1,S,61
MEANING,DEFINITION,Study1,S,62
HONEY,BEE,Study1,S,63
BABY,CHILD,Study1,S,64
CIRCLE,ROUND,Study1,S,65
PUSHER,CLUTTER,Study1,U,66
DIETARY,SACKING,Study1,U,67
PARK,HUNGRY,Study1,U,68
LIFT,WOMAN,Study1,U,69
SOON,BELT,Study1,U,70
DISCOVER,FLOOR,Study1,U,71
DEATH,BUSINESS,Study1,U,72
DEBATE,SIGHT,Study1,U,73
ARTERY,BRONZE,Study1,U,74
FIX,HAND,Study1,U,75
MACHINE,POSITION,Study1,U,76
HAPPY,CAR,Study1,U,77
ALLOW,TUCK,Study1,U,78
ART,LION,Study1,U,79
STRONG,ACCIDENT,Study1,U,80
SUGAR,RIDDLE,Study1,U,81
VALLEY,ADD,Study1,U,82
CASH,WOULD,Study1,U,83
HIDE,SICK,Study1,U,84
KING,VASE,Study1,U,85
