Subject,Condition,ListNum,Block,Recall,Direction,Jol
77,A,41,1,1,S,100
77,A,42,1,0,S,100
77,A,43,1,0,S,100
77,A,44,1,1,S,95
77,A,45,1,1,S,100
77,A,46,1,0,S,100
77,A,47,1,0,S,100
77,A,48,1,1,S,88
77,A,49,1,1,S,100
77,A,50,1,1,S,55
77,A,51,1,1,S,0
77,A,52,1,0,S,60
77,A,53,1,1,S,100
77,A,54,1,1,S,89
77,A,55,1,1,S,100
77,A,56,1,1,S,100
77,A,57,1,1,S,50
77,A,58,1,1,S,100
77,A,59,1,0,S,100
77,A,60,1,1,S,90
77,A,61,1,0,U,0
77,A,62,1,0,U,0
77,A,63,1,0,U,15
77,A,64,1,0,U,32
77,A,65,1,0,U,40
77,A,66,1,0,U,25
77,A,67,1,0,U,0
77,A,68,1,0,U,20
77,A,69,1,0,U,1
77,A,70,1,1,U,22
77,A,71,1,0,U,30
77,A,72,1,0,U,45
77,A,73,1,0,U,8
77,A,74,1,0,U,20
77,A,75,1,0,U,10
77,A,76,1,0,U,0
77,A,77,1,0,U,2
77,A,78,1,0,U,5
77,A,79,1,1,U,0
77,A,80,1,0,U,10
81,A,1,1,1,F,100
81,A,2,1,1,F,100
81,A,3,1,1,F,100
81,A,4,1,1,F,75
81,A,5,1,1,F,100
81,A,6,1,1,F,100
81,A,7,1,1,F,50
81,A,8,1,0,F,100
81,A,9,1,1,F,100
81,A,10,1,1,F,75
81,A,11,1,0,F,80
81,A,12,1,1,F,100
81,A,13,1,1,F,90
81,A,14,1,1,F,100
81,A,15,1,1,F,100
81,A,16,1,1,F,80
81,A,17,1,1,F,75
81,A,18,1,1,F,100
81,A,19,1,1,F,100
81,A,20,1,1,F,100
81,A,21,1,1,B,100
81,A,22,1,1,B,100
81,A,23,1,1,B,100
81,A,24,1,0,B,95
81,A,25,1,1,B,100
81,A,26,1,1,B,100
81,A,27,1,1,B,100
81,A,28,1,0,B,80
81,A,29,1,1,B,100
81,A,30,1,1,B,100
81,A,31,1,1,B,90
81,A,32,1,1,B,100
81,A,33,1,0,B,75
81,A,34,1,0,B,80
81,A,35,1,0,B,75
81,A,36,1,1,B,100
81,A,37,1,1,B,95
81,A,38,1,1,B,100
81,A,39,1,1,B,100
81,A,40,1,1,B,80
81,A,41,1,1,S,100
81,A,42,1,1,S,80
81,A,43,1,0,S,100
81,A,44,1,1,S,100
81,A,45,1,0,S,80
81,A,46,1,1,S,100
81,A,47,1,0,S,100
81,A,48,1,1,S,80
81,A,49,1,1,S,100
81,A,50,1,0,S,75
81,A,51,1,1,S,100
81,A,52,1,1,S,80
81,A,53,1,1,S,100
81,A,54,1,1,S,100
81,A,55,1,1,S,95
81,A,56,1,1,S,90
81,A,57,1,1,S,80
81,A,58,1,1,S,100
81,A,59,1,1,S,80
81,A,60,1,1,S,100
81,A,61,1,0,U,25
81,A,62,1,0,U,25
81,A,63,1,1,U,25
81,A,64,1,1,U,25
81,A,65,1,0,U,25
81,A,66,1,0,U,25
81,A,67,1,1,U,50
81,A,68,1,0,U,50
81,A,69,1,0,U,25
81,A,70,1,1,U,75
81,A,71,1,1,U,50
81,A,72,1,0,U,50
81,A,73,1,0,U,50
81,A,74,1,0,U,25
81,A,75,1,0,U,25
81,A,76,1,0,U,50
81,A,77,1,0,U,25
81,A,78,1,0,U,50
81,A,79,1,0,U,75
81,A,80,1,0,U,25
85,A,1,1,1,F,100
85,A,2,1,1,F,100
85,A,3,1,1,F,75
85,A,4,1,1,F,50
85,A,5,1,0,F,75
85,A,6,1,1,F,100
85,A,7,1,0,F,25
85,A,8,1,1,F,100
85,A,9,1,1,F,75
85,A,10,1,1,F,100
85,A,11,1,1,F,100
85,A,12,1,1,F,100
85,A,13,1,1,F,50
85,A,14,1,1,F,0
85,A,15,1,1,F,50
85,A,16,1,1,F,100
85,A,17,1,1,F,75
85,A,18,1,1,F,100
85,A,19,1,1,F,50
85,A,20,1,1,F,100
85,A,21,1,0,B,75
85,A,22,1,0,B,100
85,A,23,1,1,B,75
85,A,24,1,0,B,75
85,A,25,1,1,B,100
85,A,26,1,0,B,100
85,A,27,1,1,B,100
85,A,28,1,1,B,100
85,A,29,1,0,B,100
85,A,30,1,1,B,100
85,A,31,1,1,B,50
85,A,32,1,1,B,100
85,A,33,1,0,B,100
85,A,34,1,1,B,100
85,A,35,1,0,B,50
85,A,36,1,1,B,100
85,A,37,1,1,B,100
85,A,38,1,1,B,100
85,A,39,1,1,B,100
85,A,40,1,1,B,100
85,A,41,1,1,S,100
85,A,42,1,1,S,100
85,A,43,1,0,S,50
85,A,44,1,1,S,75
85,A,45,1,1,S,100
85,A,46,1,1,S,100
85,A,47,1,1,S,100
85,A,48,1,1,S,100
85,A,49,1,1,S,100
85,A,50,1,1,S,75
85,A,51,1,0,S,100
85,A,52,1,1,S,75
85,A,53,1,1,S,100
85,A,54,1,1,S,100
85,A,55,1,1,S,100
85,A,56,1,1,S,100
85,A,57,1,1,S,100
85,A,58,1,1,S,100
85,A,59,1,1,S,100
85,A,60,1,1,S,100
85,A,61,1,0,U,0
85,A,62,1,0,U,0
85,A,63,1,0,U,0
85,A,64,1,0,U,25
85,A,65,1,0,U,25
85,A,66,1,0,U,25
85,A,67,1,0,U,25
85,A,68,1,0,U,25
85,A,69,1,1,U,25
85,A,70,1,0,U,25
85,A,71,1,0,U,0
85,A,72,1,0,U,25
85,A,73,1,0,U,0
85,A,74,1,0,U,0
85,A,75,1,0,U,25
85,A,76,1,0,U,0
85,A,77,1,0,U,25
85,A,78,1,0,U,25
85,A,79,1,0,U,0
85,A,80,1,0,U,25
89,A,1,1,0,F,75
89,A,2,1,1,F,57
89,A,3,1,0,F,97
89,A,4,1,0,F,34
89,A,5,1,1,F,58
89,A,6,1,0,F,0
89,A,7,1,0,F,10
89,A,8,1,0,F,78
89,A,9,1,0,F,9
89,A,10,1,1,F,92
89,A,11,1,0,F,23
89,A,12,1,1,F,89
89,A,13,1,0,F,71
89,A,14,1,1,F,40
89,A,15,1,1,F,76
89,A,16,1,0,F,90
89,A,17,1,1,F,86
89,A,18,1,1,F,98
89,A,19,1,1,F,74
89,A,20,1,1,F,87
89,A,21,1,1,B,15
89,A,22,1,0,B,77
89,A,23,1,1,B,30
89,A,24,1,0,B,43
89,A,25,1,0,B,46
89,A,26,1,1,B,90
89,A,27,1,1,B,34
89,A,28,1,1,B,78
89,A,29,1,1,B,67
89,A,30,1,0,B,90
89,A,31,1,0,B,13
89,A,32,1,0,B,34
89,A,33,1,0,B,67
89,A,34,1,0,B,91
89,A,35,1,0,B,56
89,A,36,1,0,B,72
89,A,37,1,0,B,21
89,A,38,1,0,B,87
89,A,39,1,1,B,90
89,A,40,1,0,B,4
89,A,41,1,1,S,89
89,A,42,1,1,S,13
89,A,43,1,0,S,45
89,A,44,1,0,S,80
89,A,45,1,0,S,99
89,A,46,1,0,S,35
89,A,47,1,1,S,79
89,A,48,1,1,S,86
89,A,49,1,1,S,89
89,A,50,1,1,S,23
89,A,51,1,0,S,91
89,A,52,1,1,S,11
89,A,53,1,1,S,86
89,A,54,1,1,S,88
89,A,55,1,0,S,84
89,A,56,1,1,S,86
89,A,57,1,1,S,82
89,A,58,1,1,S,84
89,A,59,1,0,S,89
89,A,60,1,1,S,87
89,A,61,1,0,U,41
89,A,62,1,0,U,45
89,A,63,1,0,U,33
89,A,64,1,0,U,56
89,A,65,1,0,U,32
89,A,66,1,0,U,67
89,A,67,1,0,U,18
89,A,68,1,0,U,32
89,A,69,1,0,U,3
89,A,70,1,0,U,35
89,A,71,1,0,U,56
89,A,72,1,0,U,2
89,A,73,1,0,U,12
89,A,74,1,0,U,8
89,A,75,1,0,U,43
89,A,76,1,0,U,5
89,A,77,1,0,U,4
89,A,78,1,0,U,1
89,A,79,1,0,U,31
89,A,80,1,0,U,23
93,A,1,1,1,F,100
93,A,2,1,1,F,53
93,A,3,1,1,F,100
93,A,4,1,1,F,44
93,A,5,1,1,F,88
93,A,6,1,0,F,99
93,A,7,1,0,F,56
93,A,8,1,1,F,99
93,A,9,1,1,F,19
93,A,10,1,1,F,100
93,A,11,1,1,F,1
93,A,12,1,1,F,100
93,A,13,1,1,F,98
93,A,14,1,1,F,77
93,A,15,1,1,F,100
93,A,16,1,1,F,100
93,A,17,1,1,F,99
93,A,18,1,1,F,100
93,A,19,1,1,F,88
93,A,20,1,1,F,100
93,A,21,1,1,B,44
93,A,22,1,1,B,88
93,A,23,1,1,B,100
93,A,24,1,0,B,1
93,A,25,1,0,B,99
93,A,26,1,0,B,88
93,A,27,1,0,B,12
93,A,28,1,0,B,75
93,A,29,1,1,B,100
93,A,30,1,0,B,100
93,A,31,1,1,B,54
93,A,32,1,1,B,45
93,A,33,1,0,B,56
93,A,34,1,0,B,66
93,A,35,1,0,B,54
93,A,36,1,1,B,23
93,A,37,1,1,B,55
93,A,38,1,1,B,100
93,A,39,1,1,B,100
93,A,40,1,1,B,88
93,A,41,1,1,S,96
93,A,42,1,1,S,66
93,A,43,1,1,S,66
93,A,44,1,1,S,87
93,A,45,1,1,S,100
93,A,46,1,0,S,85
93,A,47,1,1,S,100
93,A,48,1,1,S,100
93,A,49,1,1,S,100
93,A,50,1,1,S,99
93,A,51,1,1,S,100
93,A,52,1,1,S,67
93,A,53,1,1,S,100
93,A,54,1,1,S,100
93,A,55,1,1,S,100
93,A,56,1,1,S,100
93,A,57,1,1,S,87
93,A,58,1,1,S,99
93,A,59,1,1,S,99
93,A,60,1,1,S,100
93,A,61,1,0,U,0
93,A,62,1,0,U,0
93,A,63,1,0,U,45
93,A,64,1,1,U,14
93,A,65,1,0,U,1
93,A,66,1,1,U,12
93,A,67,1,1,U,45
93,A,68,1,1,U,23
93,A,69,1,0,U,0
93,A,70,1,1,U,33
93,A,71,1,0,U,12
93,A,72,1,1,U,99
93,A,73,1,1,U,2
93,A,74,1,1,U,22
93,A,75,1,0,U,65
93,A,76,1,0,U,4
93,A,77,1,1,U,3
93,A,78,1,0,U,88
93,A,79,1,0,U,35
93,A,80,1,0,U,0
97,A,1,1,1,F,20
97,A,2,1,1,F,83
97,A,3,1,1,F,58
97,A,4,1,1,F,73
97,A,5,1,1,F,86
97,A,6,1,1,F,86
97,A,7,1,1,F,5
97,A,8,1,1,F,67
97,A,9,1,1,F,86
97,A,10,1,1,F,95
97,A,11,1,1,F,63
97,A,12,1,1,F,73
97,A,13,1,1,F,95
97,A,14,1,1,F,42
97,A,15,1,1,F,68
97,A,16,1,1,F,80
97,A,17,1,1,F,73
97,A,18,1,1,F,96
97,A,19,1,1,F,23
97,A,20,1,1,F,92
97,A,21,1,1,B,70
97,A,22,1,0,B,88
97,A,23,1,0,B,86
97,A,24,1,0,B,38
97,A,25,1,1,B,72
97,A,26,1,1,B,87
97,A,27,1,1,B,64
97,A,28,1,1,B,90
97,A,29,1,1,B,53
97,A,30,1,1,B,95
97,A,31,1,1,B,36
97,A,32,1,0,B,94
97,A,33,1,1,B,78
97,A,34,1,0,B,73
97,A,35,1,0,B,75
97,A,36,1,1,B,87
97,A,37,1,1,B,84
97,A,38,1,0,B,58
97,A,39,1,1,B,63
97,A,40,1,1,B,62
97,A,41,1,1,S,82
97,A,42,1,1,S,67
97,A,43,1,0,S,92
97,A,44,1,1,S,83
97,A,45,1,1,S,87
97,A,46,1,1,S,85
97,A,47,1,1,S,92
97,A,48,1,1,S,82
97,A,49,1,1,S,92
97,A,50,1,0,S,85
97,A,51,1,1,S,93
97,A,52,1,1,S,75
97,A,53,1,1,S,90
97,A,54,1,1,S,86
97,A,55,1,1,S,90
97,A,56,1,1,S,89
97,A,57,1,1,S,95
97,A,58,1,1,S,96
97,A,59,1,1,S,93
97,A,60,1,1,S,86
97,A,61,1,0,U,3
97,A,62,1,0,U,13
97,A,63,1,1,U,14
97,A,64,1,1,U,10
97,A,65,1,0,U,6
97,A,66,1,1,U,3
97,A,67,1,1,U,3
97,A,68,1,0,U,5
97,A,69,1,1,U,4
97,A,70,1,1,U,12
97,A,71,1,1,U,14
97,A,72,1,1,U,7
97,A,73,1,0,U,10
97,A,74,1,1,U,8
97,A,75,1,1,U,8
97,A,76,1,0,U,2
97,A,77,1,1,U,3
97,A,78,1,0,U,5
97,A,79,1,1,U,24
97,A,80,1,1,U,5
101,A,1,1,0,F,5
101,A,2,1,0,F,89
101,A,3,1,1,F,66
101,A,4,1,0,F,10
101,A,5,1,0,F,65
101,A,6,1,0,F,10
101,A,7,1,0,F,5
101,A,8,1,0,F,10
101,A,9,1,0,F,5
101,A,10,1,1,F,100
101,A,11,1,1,F,47
101,A,12,1,1,F,80
101,A,13,1,0,F,50
101,A,14,1,1,F,40
101,A,15,1,1,F,70
101,A,16,1,0,F,55
101,A,17,1,0,F,10
101,A,18,1,1,F,100
101,A,19,1,0,F,15
101,A,20,1,1,F,95
101,A,21,1,1,B,60
101,A,22,1,1,B,85
101,A,23,1,1,B,71
101,A,24,1,0,B,10
101,A,25,1,1,B,99
101,A,26,1,1,B,96
101,A,27,1,1,B,70
101,A,28,1,1,B,100
101,A,29,1,1,B,80
101,A,30,1,1,B,95
101,A,31,1,0,B,10
101,A,32,1,1,B,40
101,A,33,1,0,B,50
101,A,34,1,1,B,70
101,A,35,1,0,B,10
101,A,36,1,1,B,94
101,A,37,1,1,B,68
101,A,38,1,1,B,90
101,A,39,1,1,B,100
101,A,40,1,1,B,10
101,A,41,1,1,S,80
101,A,42,1,0,S,70
101,A,43,1,0,S,23
101,A,44,1,1,S,80
101,A,45,1,0,S,88
101,A,46,1,0,S,50
101,A,47,1,1,S,80
101,A,48,1,1,S,70
101,A,49,1,1,S,96
101,A,50,1,1,S,65
101,A,51,1,1,S,50
101,A,52,1,1,S,5
101,A,53,1,1,S,100
101,A,54,1,1,S,100
101,A,55,1,1,S,100
101,A,56,1,1,S,80
101,A,57,1,1,S,97
101,A,58,1,1,S,75
101,A,59,1,1,S,60
101,A,60,1,1,S,95
101,A,61,1,0,U,10
101,A,62,1,1,U,10
101,A,63,1,0,U,5
101,A,64,1,1,U,10
101,A,65,1,0,U,10
101,A,66,1,0,U,10
101,A,67,1,1,U,12
101,A,68,1,0,U,3
101,A,69,1,0,U,10
101,A,70,1,1,U,45
101,A,71,1,1,U,20
101,A,72,1,1,U,10
101,A,73,1,0,U,4
101,A,74,1,0,U,10
101,A,75,1,0,U,10
101,A,76,1,1,U,5
101,A,77,1,0,U,10
101,A,78,1,0,U,6
101,A,79,1,1,U,20
101,A,80,1,0,U,16
105,A,1,1,1,F,0
105,A,2,1,1,F,70
105,A,3,1,0,F,80
105,A,4,1,0,F,80
105,A,5,1,0,F,80
105,A,6,1,1,F,95
105,A,7,1,0,F,45
105,A,8,1,0,F,85
105,A,9,1,0,F,80
105,A,10,1,1,F,100
105,A,11,1,1,F,80
105,A,12,1,1,F,100
105,A,13,1,0,F,75
105,A,14,1,1,F,70
105,A,15,1,0,F,100
105,A,16,1,0,F,85
105,A,17,1,1,F,100
105,A,18,1,1,F,90
105,A,19,1,1,F,60
105,A,20,1,1,F,80
105,A,21,1,1,B,80
105,A,22,1,0,B,90
105,A,23,1,1,B,90
105,A,24,1,0,B,95
105,A,25,1,0,B,100
105,A,26,1,0,B,80
105,A,27,1,0,B,100
105,A,28,1,0,B,100
105,A,29,1,1,B,100
105,A,30,1,0,B,85
105,A,31,1,0,B,90
105,A,32,1,0,B,50
105,A,33,1,0,B,100
105,A,34,1,0,B,100
105,A,35,1,0,B,55
105,A,36,1,0,B,80
105,A,37,1,1,B,90
105,A,38,1,0,B,90
105,A,39,1,1,B,70
105,A,40,1,0,B,90
105,A,41,1,0,S,100
105,A,42,1,0,S,50
105,A,43,1,1,S,65
105,A,44,1,0,S,85
105,A,45,1,0,S,100
105,A,46,1,0,S,65
105,A,47,1,1,S,95
105,A,48,1,1,S,100
105,A,49,1,1,S,100
105,A,50,1,1,S,95
105,A,51,1,0,S,95
105,A,52,1,1,S,100
105,A,53,1,1,S,100
105,A,54,1,1,S,100
105,A,55,1,0,S,100
105,A,56,1,1,S,100
105,A,57,1,1,S,100
105,A,58,1,1,S,90
105,A,59,1,0,S,100
105,A,60,1,0,S,65
105,A,61,1,0,U,75
105,A,62,1,0,U,0
105,A,63,1,1,U,75
105,A,64,1,0,U,75
105,A,65,1,0,U,80
105,A,66,1,0,U,70
105,A,67,1,0,U,55
105,A,68,1,0,U,70
105,A,69,1,0,U,60
105,A,70,1,0,U,85
105,A,71,1,0,U,65
105,A,72,1,0,U,80
105,A,73,1,0,U,85
105,A,74,1,0,U,100
105,A,75,1,0,U,80
105,A,76,1,0,U,45
105,A,77,1,0,U,100
105,A,78,1,0,U,80
105,A,79,1,1,U,100
105,A,80,1,0,U,80
73,A,1,2,0,F,90
73,A,2,2,1,F,28
73,A,3,2,1,F,70
73,A,4,2,1,F,80
73,A,5,2,0,F,78
73,A,6,2,0,F,2
73,A,7,2,1,F,75
73,A,8,2,1,F,98
73,A,9,2,1,F,89
73,A,10,2,1,F,78
73,A,11,2,0,F,100
73,A,12,2,1,F,100
73,A,13,2,1,F,90
73,A,14,2,1,F,78
73,A,15,2,1,F,76
73,A,16,2,0,F,95
73,A,17,2,1,F,99
73,A,18,2,1,F,40
73,A,19,2,0,F,56
73,A,20,2,1,F,90
73,A,21,2,0,B,65
73,A,22,2,0,B,76
73,A,23,2,0,B,99
73,A,24,2,0,B,99
73,A,25,2,0,B,89
73,A,26,2,1,B,34
73,A,27,2,1,B,24
73,A,28,2,0,B,43
73,A,29,2,1,B,13
73,A,30,2,1,B,9
73,A,31,2,0,B,67
73,A,32,2,1,B,55
73,A,33,2,0,B,94
73,A,34,2,1,B,100
73,A,35,2,0,B,48
73,A,36,2,1,B,60
73,A,37,2,1,B,78
73,A,38,2,1,B,89
73,A,39,2,0,B,99
73,A,40,2,0,B,88
73,A,41,2,1,S,70
73,A,42,2,1,S,76
73,A,43,2,1,S,56
73,A,44,2,0,S,93
73,A,45,2,0,S,77
73,A,46,2,0,S,76
73,A,47,2,1,S,98
73,A,48,2,0,S,98
73,A,49,2,0,S,87
73,A,50,2,1,S,88
73,A,51,2,0,S,90
73,A,52,2,0,S,70
73,A,53,2,0,S,55
73,A,54,2,1,S,67
73,A,55,2,0,S,10
73,A,56,2,0,S,89
73,A,57,2,1,S,48
73,A,58,2,1,S,64
73,A,59,2,1,S,80
73,A,60,2,0,S,75
73,A,61,2,0,U,3
73,A,62,2,0,U,56
73,A,63,2,0,U,2
73,A,64,2,1,U,2
73,A,65,2,0,U,2
73,A,66,2,0,U,12
73,A,67,2,0,U,65
73,A,68,2,0,U,17
73,A,69,2,0,U,14
73,A,70,2,0,U,5
73,A,71,2,0,U,6
73,A,72,2,0,U,12
73,A,73,2,1,U,1
73,A,74,2,0,U,66
73,A,75,2,0,U,56
73,A,76,2,0,U,3
73,A,77,2,0,U,9
73,A,78,2,0,U,20
73,A,79,2,0,U,3
73,A,80,2,0,U,3
77,A,1,2,1,F,100
77,A,2,2,1,F,55
77,A,3,2,1,F,100
77,A,4,2,1,F,95
77,A,5,2,1,F,100
77,A,6,2,1,F,30
77,A,7,2,0,F,100
77,A,8,2,0,F,100
77,A,9,2,1,F,89
77,A,10,2,1,F,80
77,A,11,2,1,F,91
77,A,12,2,1,F,100
77,A,13,2,1,F,96
77,A,14,2,1,F,88
77,A,15,2,1,F,100
77,A,16,2,0,F,74
77,A,17,2,1,F,74
77,A,18,2,0,F,100
77,A,19,2,1,F,92
77,A,20,2,1,F,100
77,A,21,2,1,B,70
77,A,22,2,0,B,100
77,A,23,2,0,B,100
77,A,24,2,0,B,100
77,A,25,2,0,B,70
77,A,26,2,0,B,12
77,A,27,2,0,B,50
77,A,28,2,0,B,77
77,A,29,2,0,B,100
77,A,30,2,0,B,1
77,A,31,2,0,B,10
77,A,32,2,1,B,55
77,A,33,2,1,B,100
77,A,34,2,0,B,100
77,A,35,2,0,B,60
77,A,36,2,0,B,87
77,A,37,2,1,B,100
77,A,38,2,1,B,100
77,A,39,2,0,B,100
77,A,40,2,0,B,50
77,A,41,2,1,S,100
77,A,42,2,0,S,100
77,A,43,2,1,S,100
77,A,44,2,0,S,100
77,A,45,2,1,S,100
77,A,46,2,0,S,100
77,A,47,2,1,S,100
77,A,48,2,1,S,100
77,A,49,2,1,S,90
77,A,50,2,1,S,99
77,A,51,2,1,S,80
77,A,52,2,1,S,100
77,A,53,2,0,S,100
77,A,54,2,0,S,100
77,A,55,2,1,S,10
77,A,56,2,1,S,65
77,A,57,2,1,S,100
77,A,58,2,0,S,100
77,A,59,2,0,S,83
77,A,60,2,0,S,89
77,A,61,2,0,U,2
77,A,62,2,0,U,30
77,A,63,2,0,U,12
77,A,64,2,0,U,1
77,A,65,2,0,U,1
77,A,66,2,0,U,44
77,A,67,2,1,U,36
77,A,68,2,0,U,20
77,A,69,2,0,U,12
77,A,70,2,0,U,2
77,A,71,2,0,U,34
77,A,72,2,0,U,23
77,A,73,2,0,U,20
77,A,74,2,0,U,20
77,A,75,2,0,U,60
77,A,76,2,0,U,30
77,A,77,2,0,U,49
77,A,78,2,1,U,15
77,A,79,2,0,U,2
77,A,80,2,0,U,56
81,A,1,2,0,F,50
81,A,2,2,1,F,50
81,A,3,2,1,F,50
81,A,4,2,1,F,95
81,A,5,2,1,F,95
81,A,6,2,0,F,0
81,A,7,2,1,F,80
81,A,8,2,1,F,90
81,A,9,2,0,F,80
81,A,10,2,1,F,80
81,A,11,2,1,F,50
81,A,12,2,0,F,95
81,A,13,2,1,F,80
81,A,14,2,1,F,50
81,A,15,2,1,F,25
81,A,16,2,1,F,95
81,A,17,2,1,F,50
81,A,18,2,1,F,95
81,A,19,2,0,F,80
81,A,20,2,1,F,95
81,A,21,2,1,B,90
81,A,22,2,0,B,80
81,A,23,2,0,B,95
81,A,24,2,1,B,85
81,A,25,2,1,B,80
81,A,26,2,1,B,50
81,A,27,2,0,B,25
81,A,28,2,0,B,95
81,A,29,2,1,B,95
81,A,30,2,1,B,50
81,A,31,2,0,B,50
81,A,32,2,0,B,80
81,A,33,2,1,B,95
81,A,34,2,1,B,80
81,A,35,2,0,B,80
81,A,36,2,1,B,95
81,A,37,2,0,B,95
81,A,38,2,0,B,95
81,A,39,2,1,B,50
81,A,40,2,1,B,80
81,A,41,2,1,S,85
81,A,42,2,0,S,100
81,A,43,2,1,S,100
81,A,44,2,1,S,95
81,A,45,2,1,S,50
81,A,46,2,1,S,50
81,A,47,2,1,S,50
81,A,48,2,1,S,100
81,A,49,2,1,S,80
81,A,50,2,1,S,95
81,A,51,2,1,S,95
81,A,52,2,1,S,90
81,A,53,2,1,S,85
81,A,54,2,0,S,50
81,A,55,2,1,S,50
81,A,56,2,1,S,80
81,A,57,2,0,S,95
81,A,58,2,1,S,50
81,A,59,2,1,S,80
81,A,60,2,0,S,100
81,A,61,2,0,U,0
81,A,62,2,1,U,50
81,A,63,2,0,U,25
81,A,64,2,0,U,25
81,A,65,2,0,U,50
81,A,66,2,0,U,0
81,A,67,2,0,U,50
81,A,68,2,0,U,25
81,A,69,2,0,U,15
81,A,70,2,0,U,25
81,A,71,2,0,U,50
81,A,72,2,0,U,10
81,A,73,2,0,U,20
81,A,74,2,0,U,25
81,A,75,2,0,U,50
81,A,76,2,0,U,25
81,A,77,2,1,U,50
81,A,78,2,1,U,25
81,A,79,2,1,U,50
81,A,80,2,0,U,1
85,A,1,2,1,F,100
85,A,2,2,1,F,50
85,A,3,2,1,F,50
85,A,4,2,1,F,100
85,A,5,2,1,F,100
85,A,6,2,1,F,0
85,A,7,2,1,F,100
85,A,8,2,1,F,50
85,A,9,2,1,F,75
85,A,10,2,1,F,75
85,A,11,2,1,F,100
85,A,12,2,1,F,100
85,A,13,2,1,F,100
85,A,14,2,1,F,75
85,A,15,2,1,F,0
85,A,16,2,1,F,25
85,A,17,2,1,F,100
85,A,18,2,1,F,50
85,A,19,2,1,F,75
85,A,20,2,1,F,100
85,A,21,2,1,B,50
85,A,22,2,0,B,50
85,A,23,2,1,B,100
85,A,24,2,1,B,100
85,A,25,2,1,B,75
85,A,26,2,0,B,25
85,A,27,2,0,B,50
85,A,28,2,1,B,50
85,A,29,2,1,B,100
85,A,30,2,0,B,100
85,A,31,2,1,B,100
85,A,32,2,1,B,75
85,A,33,2,1,B,100
85,A,34,2,1,B,100
85,A,35,2,0,B,100
