Subject,Condition,ListNum,Block,Recall,Direction,Jol
73,A,1,1,1,F,72
73,A,2,1,1,F,89
73,A,3,1,1,F,99
73,A,4,1,1,F,70
73,A,5,1,1,F,32
73,A,6,1,1,F,98
73,A,7,1,1,F,35
73,A,8,1,1,F,70
73,A,9,1,1,F,75
73,A,10,1,1,F,100
73,A,11,1,0,F,12
73,A,12,1,1,F,100
73,A,13,1,1,F,100
73,A,14,1,1,F,100
73,A,15,1,1,F,78
73,A,16,1,1,F,86
73,A,17,1,1,F,95
73,A,18,1,1,F,79
73,A,19,1,1,F,90
73,A,20,1,1,F,100
73,A,21,1,1,B,50
73,A,22,1,1,B,83
73,A,23,1,1,B,78
73,A,24,1,0,B,64
73,A,25,1,1,B,28
73,A,26,1,1,B,95
73,A,27,1,1,B,25
73,A,28,1,0,B,75
73,A,29,1,1,B,97
73,A,30,1,1,B,99
73,A,31,1,1,B,20
73,A,32,1,0,B,11
73,A,33,1,1,B,12
73,A,34,1,1,B,50
73,A,35,1,1,B,95
73,A,36,1,0,B,95
73,A,37,1,1,B,90
73,A,38,1,1,B,95
73,A,39,1,1,B,100
73,A,40,1,0,B,77
73,A,41,1,1,S,99
73,A,42,1,0,S,99
73,A,43,1,0,S,99
73,A,44,1,1,S,100
73,A,45,1,1,S,98
73,A,46,1,1,S,89
73,A,47,1,0,S,30
73,A,48,1,1,S,45
73,A,49,1,1,S,67
73,A,50,1,1,S,90
73,A,51,1,1,S,100
73,A,52,1,1,S,100
73,A,53,1,1,S,99
73,A,54,1,1,S,100
73,A,55,1,1,S,88
73,A,56,1,1,S,98
73,A,57,1,1,S,45
73,A,58,1,1,S,100
73,A,59,1,1,S,90
73,A,60,1,1,S,88
73,A,61,1,0,U,7
73,A,62,1,0,U,0
73,A,63,1,0,U,0
73,A,64,1,1,U,2
73,A,65,1,0,U,21
73,A,66,1,0,U,5
73,A,67,1,0,U,10
73,A,68,1,0,U,5
73,A,69,1,0,U,15
73,A,70,1,0,U,4
73,A,71,1,0,U,2
73,A,72,1,0,U,2
73,A,73,1,0,U,4
73,A,74,1,0,U,0
73,A,75,1,0,U,2
73,A,76,1,0,U,5
73,A,77,1,0,U,3
73,A,78,1,0,U,2
73,A,79,1,0,U,0
73,A,80,1,0,U,0
77,A,1,1,1,F,100
77,A,2,1,1,F,50
77,A,3,1,1,F,96
77,A,4,1,1,F,15
77,A,5,1,1,F,97
77,A,6,1,0,F,100
77,A,7,1,0,F,60
77,A,8,1,1,F,78
77,A,9,1,1,F,75
77,A,10,1,1,F,70
77,A,11,1,1,F,70
77,A,12,1,1,F,100
77,A,13,1,1,F,100
77,A,14,1,1,F,30
77,A,15,1,1,F,100
77,A,16,1,1,F,95
77,A,17,1,1,F,97
77,A,18,1,1,F,100
77,A,19,1,1,F,95
77,A,20,1,1,F,100
77,A,21,1,1,B,100
77,A,22,1,0,B,100
77,A,23,1,1,B,92
77,A,24,1,0,B,50
77,A,25,1,0,B,75
77,A,26,1,1,B,100
77,A,27,1,0,B,80
77,A,28,1,1,B,100
77,A,29,1,1,B,85
77,A,30,1,0,B,100
77,A,31,1,0,B,73
77,A,32,1,0,B,100
77,A,33,1,0,B,55
77,A,34,1,0,B,77
77,A,35,1,0,B,100
77,A,36,1,1,B,100
77,A,37,1,0,B,50
77,A,38,1,1,B,100
77,A,39,1,1,B,89
77,A,40,1,0,B,62
